##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ES_430_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	178096978
Sequences flagged as poor quality	0
Sequence length	101
%GC	38
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	22-23	0.06860652953536572
1103	24-25	0.08780981573107027
1103	26-27	0.08733076291773045
1103	28-29	0.16133547224001177
1103	30-31	0.0849267515288119
1103	32-33	-0.057216924426775506
1103	34-35	0.021510539605756662
1103	36-37	0.1610961366722492
1103	38-39	0.18188462321268872
1103	40-41	0.1359399630220608
1103	42-43	0.1728557553268928
1103	44-45	0.16971376487131096
1103	46-47	0.17243066091266002
1103	48-49	0.08242888357530376
1103	50-51	-0.09163626815983861
1103	52-53	-0.045560324873200386
1103	54-55	0.10749853451589075
1103	56-57	0.16666162421282138
1103	58-59	0.289981721355133
1103	60-61	0.3451649321423318
1103	62-63	0.2833675844472694
1103	64-65	0.2430404495118026
1103	66-67	0.24136534887877303
1103	68-69	0.3649920282364931
1103	70-71	0.4051547970962659
1103	72-73	0.35420116373811794
1103	74-75	0.3637185044599036
1103	76-77	0.4799042677939056
1103	78-79	0.4048435192176427
1103	80-81	0.3466030270809952
1103	82-83	0.37998371908772555
1103	84-85	0.35885382899352436
1103	86-87	0.374522217928245
1103	88-89	0.3257971059826552
1103	90-91	0.23040529287479927
1103	92-93	0.47909292826997785
1103	94-95	0.64287182557403
1103	96-97	0.6509835499079557
1103	98-99	0.6999854781925805
1103	100-101	0.9695860155976419
1104	1	-0.18061349668926852
1104	2	-0.14571426802318044
1104	3	-0.17585155357731708
1104	4	-0.12092407560776053
1104	5	-0.2064142208076447
1104	6	-0.09416280685192646
1104	7	-0.07629028207315969
1104	8	-0.05980212463975931
1104	9	-0.12092596896724217
1104	10-11	-0.11095102196231466
1104	12-13	-0.046254491914787366
1104	14-15	-0.13161800935016288
1104	16-17	-0.11722176975003151
1104	18-19	-0.00943759647985587
1104	20-21	-0.03737057660916321
1104	22-23	-0.009169386001325108
1104	24-25	0.07240783162376374
1104	26-27	0.028039693070859073
1104	28-29	0.07177743159019201
1104	30-31	0.013234825057637067
1104	32-33	-0.07910427093968764
1104	34-35	0.024864637943423418
1104	36-37	0.03679835451942637
1104	38-39	-0.001892926757690816
1104	40-41	-0.04991979208127617
1104	42-43	0.030537884124214543
1104	44-45	0.03958676001929007
1104	46-47	0.05077336573756952
1104	48-49	0.006985969210575149
1104	50-51	-0.06704366297432074
1104	52-53	-0.058984851346451705
1104	54-55	0.0749820906970129
1104	56-57	0.09261398801387344
1104	58-59	0.17880947894334298
1104	60-61	0.16635612810156175
1104	62-63	0.016926680973725183
1104	64-65	0.08345208232412205
1104	66-67	0.1569016728984991
1104	68-69	0.1828176344259944
1104	70-71	0.1326614713740284
1104	72-73	0.09723611842112234
1104	74-75	0.2006398805035019
1104	76-77	0.2565352607306366
1104	78-79	0.27503152660874974
1104	80-81	0.314326326492413
1104	82-83	0.3152143255722919
1104	84-85	0.3571463599236182
1104	86-87	0.3114074190289422
1104	88-89	0.3284424698674506
1104	90-91	0.3542923847634931
1104	92-93	0.37165895230231527
1104	94-95	0.46991798050574474
1104	96-97	0.36321945247031806
1104	98-99	0.4056943228871397
1104	100-101	0.5703951525944078
1105	1	-0.2762099098982027
1105	2	-0.28456929008942566
1105	3	-0.28082980829051607
1105	4	-0.16935692018849124
1105	5	-0.20884574407494938
1105	6	-0.1712366012616613
1105	7	-0.1276412852424258
1105	8	-0.1817028132348142
1105	9	-0.27876991668116347
1105	10-11	-0.2540258119144312
1105	12-13	-0.21175123447000033
1105	14-15	-0.2921759364753669
1105	16-17	-0.27959356022862636
1105	18-19	-0.22634385005863322
1105	20-21	-0.2297777658215665
1105	22-23	-0.2569395293604586
1105	24-25	-0.20999050029976019
1105	26-27	-0.17476698988375716
1105	28-29	-0.17761758020195373
1105	30-31	-0.25133222430523006
1105	32-33	-0.22441870561110733
1105	34-35	-0.16867919047872704
1105	36-37	-0.16334055547886095
1105	38-39	-0.19341419063733412
1105	40-41	-0.09500376185946635
1105	42-43	-0.10081118026335645
1105	44-45	-0.0957154991248359
1105	46-47	-0.07434152276744754
1105	48-49	-0.15372619995696368
1105	50-51	-0.2088977237921128
1105	52-53	-0.18763202703074455
1105	54-55	-0.09543052104962868
1105	56-57	-0.07696219897761836
1105	58-59	-0.021352991415184874
1105	60-61	-0.009470751047224724
1105	62-63	-0.05148442622763838
1105	64-65	-0.07706757377365392
1105	66-67	-0.06636193526992429
1105	68-69	0.030767697647725356
1105	70-71	-0.046423128968122285
1105	72-73	-0.019610035877242638
1105	74-75	0.03631547558590853
1105	76-77	0.08089598076401927
1105	78-79	0.13366797289479138
1105	80-81	0.11898289897391834
1105	82-83	0.08158841140566864
1105	84-85	0.02753409050638922
1105	86-87	0.10933642280280154
1105	88-89	0.21243227646360907
1105	90-91	0.17875021739297736
1105	92-93	0.1649578737093691
1105	94-95	0.2422985556062578
1105	96-97	0.24210520203874353
1105	98-99	0.2805684419636876
1105	100-101	0.4111694059786757
1106	1	-0.4729751182451025
1106	2	-0.49328766150830106
1106	3	-0.48074699887262184
1106	4	-0.3398260043209831
1106	5	-0.33561049319887104
1106	6	-0.3029339977759591
1106	7	-0.3323118793317832
1106	8	-0.3367515502679197
1106	9	-0.4240528852575878
1106	10-11	-0.4937837764425623
1106	12-13	-0.41300281448557996
1106	14-15	-0.5156795706526864
1106	16-17	-0.4280656541752066
1106	18-19	-0.46213797993464567
1106	20-21	-0.4828278810213362
1106	22-23	-0.5273698299458189
1106	24-25	-0.43203945628171425
1106	26-27	-0.43695660601965614
1106	28-29	-0.4511361895422681
1106	30-31	-0.459994185523783
1106	32-33	-0.5084687400612324
1106	34-35	-0.4363508972961796
1106	36-37	-0.4550784665359302
1106	38-39	-0.5291077343829116
1106	40-41	-0.5170362276313725
1106	42-43	-0.5362268769411571
1106	44-45	-0.4752078172267815
1106	46-47	-0.42500954048632167
1106	48-49	-0.40844680738240413
1106	50-51	-0.546966317102104
1106	52-53	-0.5472928771829331
1106	54-55	-0.4829335049477592
1106	56-57	-0.5010716593317994
1106	58-59	-0.470117178802532
1106	60-61	-0.5796022200201563
1106	62-63	-0.6017479266477181
1106	64-65	-0.6371732011596762
1106	66-67	-0.6139362542879852
1106	68-69	-0.6129327202272137
1106	70-71	-0.6268857307603568
1106	72-73	-0.6120760438779485
1106	74-75	-0.5123234503076262
1106	76-77	-0.3407948172953539
1106	78-79	-0.36679903206412945
1106	80-81	-0.36913035988749243
1106	82-83	-0.3553024235299027
1106	84-85	-0.35073556949291884
1106	86-87	-0.26605628474843357
1106	88-89	-0.3410880038739883
1106	90-91	-0.3275485549722639
1106	92-93	-0.34381400673390417
1106	94-95	-0.31546436309408676
1106	96-97	-0.32227362891725164
1106	98-99	-0.31510136262363275
1106	100-101	-0.2458783954981456
1107	1	-0.6503595921113536
1107	2	-0.71058631296561
1107	3	-0.6038015671232841
1107	4	-0.5320589090697823
1107	5	-0.5455319910346006
1107	6	-0.6245300919928951
1107	7	-0.6303182095832653
1107	8	-0.5961360963141829
1107	9	-0.7437004677008332
1107	10-11	-0.7744708412465471
1107	12-13	-0.7779809585661823
1107	14-15	-1.0441900500556471
1107	16-17	-0.8542044438923497
1107	18-19	-0.9209011753365033
1107	20-21	-0.9576557072699217
1107	22-23	-0.9616289113566907
1107	24-25	-0.8694050644762186
1107	26-27	-0.921802659269197
1107	28-29	-1.1203032546764575
1107	30-31	-1.3424407753577867
1107	32-33	-1.4602549576557422
1107	34-35	-1.5466873949973774
1107	36-37	-1.4405597080265053
1107	38-39	-1.4517787729098401
1107	40-41	-1.3374821183312378
1107	42-43	-1.406623187539978
1107	44-45	-1.4961507721848974
1107	46-47	-1.3203020077334315
1107	48-49	-1.4174384254968402
1107	50-51	-1.3778899881484747
1107	52-53	-1.2658461194285948
1107	54-55	-1.1766014544873613
1107	56-57	-1.1002342535309495
1107	58-59	-1.0447014654942492
1107	60-61	-1.003529357737932
1107	62-63	-1.147586837165953
1107	64-65	-0.9564892650031709
1107	66-67	-1.053378867662822
1107	68-69	-1.0732078415734847
1107	70-71	-1.2861394330361478
1107	72-73	-1.53893155936143
1107	74-75	-1.5529432338789562
1107	76-77	-1.3123044930433991
1107	78-79	-1.4205047798802148
1107	80-81	-1.4164761431281079
1107	82-83	-1.517988636816117
1107	84-85	-1.5952219027855676
1107	86-87	-1.595274002354774
1107	88-89	-1.6372610956398361
1107	90-91	-1.5641651434368207
1107	92-93	-1.6160661155149647
1107	94-95	-1.6718853618090925
1107	96-97	-1.7428069204454104
1107	98-99	-1.838869318931085
1107	100-101	-1.8158064455964649
1108	1	-0.7697241023057302
1108	2	-0.7873976627452031
1108	3	-0.6849776310951263
1108	4	-0.6169776867243826
1108	5	-0.5527824992111547
1108	6	-0.6052948767279602
1108	7	-0.5624961800078623
1108	8	-0.6664034890267914
1108	9	-0.7350812452552162
1108	10-11	-0.7752073606392784
1108	12-13	-0.7080683017390257
1108	14-15	-0.8876753588939224
