##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ET_385_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	221202343
Sequences flagged as poor quality	0
Sequence length	101
%GC	36
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	24-25	0.5483182310011898
1103	26-27	0.4719347094253692
1103	28-29	0.5348042258595029
1103	30-31	0.6308463674534153
1103	32-33	0.5226077652756302
1103	34-35	0.5580484020852481
1103	36-37	0.5380038322833158
1103	38-39	0.6191930467298548
1103	40-41	0.5733400544175424
1103	42-43	0.6396948305976764
1103	44-45	0.5365341706684887
1103	46-47	0.6535540697457023
1103	48-49	0.6768400960795375
1103	50-51	0.5612581988482219
1103	52-53	0.4921477837067698
1103	54-55	0.6079359429176492
1103	56-57	0.751516031254404
1103	58-59	0.852853734032486
1103	60-61	0.8231457392960877
1103	62-63	0.7462285501475208
1103	64-65	0.75251712285975
1103	66-67	0.8927894166191876
1103	68-69	0.8653827966216383
1103	70-71	0.7533255267300802
1103	72-73	0.7061984824210654
1103	74-75	0.7397579107190566
1103	76-77	0.9192391430242353
1103	78-79	0.9707615710201125
1103	80-81	0.9562735324436602
1103	82-83	1.003393380215993
1103	84-85	0.9425752716628502
1103	86-87	0.8743776386410218
1103	88-89	0.7364126239231652
1103	90-91	0.7950060052906167
1103	92-93	1.0235342251960837
1103	94-95	1.1339726300443544
1103	96-97	1.1692810038498038
1103	98-99	1.1130981842976233
1103	100-101	1.3445654385470043
1104	1	0.02817013798176049
1104	2	0.04031628404461429
1104	3	0.05711576513261818
1104	4	0.1004483977362014
1104	5	0.08972267629486197
1104	6	-0.1480471078404335
1104	7	0.0468976939864163
1104	8	0.10200936906117164
1104	9	0.18509679073546437
1104	10-11	0.07423116410465269
1104	12-13	0.17601266675153937
1104	14-15	0.21875837618958371
1104	16-17	0.08754077239212421
1104	18-19	0.19843532941268904
1104	20-21	0.2788123797458866
1104	22-23	0.28735333739911795
1104	24-25	0.336898196190873
1104	26-27	0.31652733136965594
1104	28-29	0.1874423054159351
1104	30-31	0.27625671666866936
1104	32-33	0.261379275740957
1104	34-35	0.13782457914089719
1104	36-37	0.2868839107525645
1104	38-39	0.32273958755205
1104	40-41	0.3288886305540899
1104	42-43	0.2833715832132242
1104	44-45	0.416273330550581
1104	46-47	0.47386012217676665
1104	48-49	0.396156416188127
1104	50-51	0.3558598858768107
1104	52-53	0.3061378349578163
1104	54-55	0.4206638088220416
1104	56-57	0.5351070823934307
1104	58-59	0.3813068511006392
1104	60-61	0.39106320006087003
1104	62-63	0.2909538468402104
1104	64-65	0.5669945450769518
1104	66-67	0.6038824205239521
1104	68-69	0.5798383143771701
1104	70-71	0.6524820366573394
1104	72-73	0.7144287980370336
1104	74-75	0.6262387291518081
1104	76-77	0.6529227771914634
1104	78-79	0.6469217233030164
1104	80-81	0.5398554012165242
1104	82-83	0.6599338118028264
1104	84-85	0.7966308614114759
1104	86-87	0.7900496394882524
1104	88-89	0.670509431584712
1104	90-91	0.8307035613412914
1104	92-93	0.9141838767681953
1104	94-95	0.9250977638748061
1104	96-97	0.9164461443403376
1104	98-99	0.8384596969727554
1104	100-101	0.9238816679872599
1105	1	-0.2531259997496136
1105	2	-0.16616596705616615
1105	3	-0.14844416517136594
1105	4	-0.0979363283790633
1105	5	-0.05724146613007974
1105	6	0.009317858008216717
1105	7	-0.05189780049423831
1105	8	-0.05880361272748047
1105	9	-0.1378553332865522
1105	10-11	-0.02605432142238584
1105	12-13	0.098145812595412
1105	14-15	0.11136572944045753
1105	16-17	-0.028677535285922318
1105	18-19	0.022510626993501148
1105	20-21	-0.027198878775799074
1105	22-23	0.05200687208709809
1105	24-25	0.029881830450186442
1105	26-27	0.14427594047216985
1105	28-29	0.05626936343376343
1105	30-31	0.1334006110085113
1105	32-33	0.042583248895418535
1105	34-35	0.09836373237597229
1105	36-37	0.06457597061538678
1105	38-39	0.11806168901444636
1105	40-41	0.11678945684754893
1105	42-43	0.1335027033204952
1105	44-45	0.23588746633635793
1105	46-47	0.1841127521896695
1105	48-49	0.11222421148963946
1105	50-51	0.15257584216784892
1105	52-53	0.0036877502731726963
1105	54-55	0.08873795021437303
1105	56-57	0.1769819253141307
1105	58-59	0.2626407860294151
1105	60-61	0.253052618291413
1105	62-63	0.32222287116567117
1105	64-65	0.4215630040614542
1105	66-67	0.3913988104770212
1105	68-69	0.405942017272956
1105	70-71	0.35485483327050815
1105	72-73	0.3886638087463439
1105	74-75	0.4612606447460408
1105	76-77	0.426231424057832
1105	78-79	0.43445842602142903
1105	80-81	0.37959094026181717
1105	82-83	0.4088835727511153
1105	84-85	0.44967499104793873
1105	86-87	0.46987301956595573
1105	88-89	0.5035360424924491
1105	90-91	0.6221416792646686
1105	92-93	0.5826865152539007
1105	94-95	0.5647270358933518
1105	96-97	0.4534628719152032
1105	98-99	0.40894281754168205
1105	100-101	0.524662477468727
1106	1	-0.3248673589661344
1106	2	-0.34571031326083457
1106	3	-0.3798173949906811
1106	4	-0.4394728693308778
1106	5	-0.2240564530391964
1106	6	-0.33808498096997397
1106	7	-0.3022024807686776
1106	8	-0.25556223098124775
1106	9	-0.40340935982764137
1106	10-11	-0.3665204264234987
1106	12-13	-0.29197280000561676
1106	14-15	-0.42227798567872554
1106	16-17	-0.4933601358450517
1106	18-19	-0.3827016792511486
1106	20-21	-0.4253070086697761
1106	22-23	-0.4442562770879377
1106	24-25	-0.37657068483729006
1106	26-27	-0.35948134625368056
1106	28-29	-0.34641412697045837
1106	30-31	-0.3764298879391177
1106	32-33	-0.4448147335087569
1106	34-35	-0.6371214894112001
1106	36-37	-0.5030836750948353
1106	38-39	-0.5311513192752599
1106	40-41	-0.6030818013969892
1106	42-43	-0.7078821870563843
1106	44-45	-0.5323251695920774
1106	46-47	-0.37520896681525784
1106	48-49	-0.3276656613021274
1106	50-51	-0.5970569533451027
1106	52-53	-0.5488450729363521
1106	54-55	-0.31819687279804043
1106	56-57	-0.30031561721526856
1106	58-59	-0.37237534673223394
1106	60-61	-0.44337259473260104
1106	62-63	-0.5355475187920931
1106	64-65	-0.6895727604006581
1106	66-67	-0.6148076518422911
1106	68-69	-0.6902331318109631
1106	70-71	-0.6364601748132159
1106	72-73	-0.5222469455239498
1106	74-75	-0.41312898302275514
1106	76-77	-0.3381510501123053
1106	78-79	-0.2721753909543452
1106	80-81	-0.3070195005645111
1106	82-83	-0.3132020073040529
1106	84-85	-0.2964028972513759
1106	86-87	-0.30894131826488547
